id;start_date;end_date;language
1;2020-05-07T04:07:00;2020-05-07T01:57:15;SPANISH
2;2020-05-06T08:57:11;2020-05-07T04:01:36;SPANISH
3;2020-05-06T23:52:30;2020-05-06T10:26:39;FRENCH
4;2020-05-06T15:10:01;2020-05-07T02:41:27;FRENCH
5;2020-05-07T00:40:19;2020-05-07T05:27:18;FRENCH
6;2020-05-06T18:32:40;2020-05-07T06:40:54;FRENCH
7;2020-05-06T20:18:00;2020-05-06T14:08:51;FRENCH
8;2020-05-06T19:14:13;2020-05-07T05:30:21;SPANISH
9;2020-05-06T17:55:22;2020-05-06T14:36:45;SPANISH
10;2020-05-07T02:07:26;2020-05-06T12:41:56;SPANISH
